value_ns,percentile,cumulative_count
35903.0,99.905205,2080408
35935.0,99.905253,2080409
35967.0,99.905541,2080415
35999.0,99.905685,2080418
36031.0,99.905973,2080424
36063.0,99.906117,2080427
36095.0,99.906309,2080431
36127.0,99.906549,2080436
36159.0,99.906597,2080437
36191.0,99.906741,2080440
36223.0,99.906885,2080443
36255.0,99.906982,2080445
36287.0,99.907174,2080449
36319.0,99.907318,2080452
36351.0,99.907462,2080455
36383.0,99.907558,2080457
36415.0,99.907654,2080459
36447.0,99.907942,2080465
36479.0,99.908038,2080467
36511.0,99.908086,2080468
36543.0,99.908326,2080473
36575.0,99.908518,2080477
36607.0,99.908710,2080481
36639.0,99.908902,2080485
36671.0,99.908998,2080487
36703.0,99.909143,2080490
36735.0,99.909239,2080492
36767.0,99.909383,2080495
36799.0,99.909527,2080498
36831.0,99.909719,2080502
36863.0,99.910055,2080509
36895.0,99.910151,2080511
36927.0,99.910295,2080514
36959.0,99.910439,2080517
36991.0,99.910679,2080522
37023.0,99.910823,2080525
37055.0,99.910967,2080528
37087.0,99.911111,2080531
37119.0,99.911207,2080533
37151.0,99.911303,2080535
37183.0,99.911400,2080537
37215.0,99.911640,2080542
37247.0,99.911880,2080547
37279.0,99.912072,2080551
37311.0,99.912264,2080555
37343.0,99.912408,2080558
37375.0,99.912648,2080563
37439.0,99.912744,2080565
37471.0,99.913032,2080571
37503.0,99.913176,2080574
37567.0,99.913368,2080578
37599.0,99.913609,2080583
37631.0,99.913849,2080588
37663.0,99.914089,2080593
37695.0,99.914233,2080596
37727.0,99.914281,2080597
37791.0,99.914425,2080600
37823.0,99.914569,2080603
37855.0,99.914617,2080604
37887.0,99.914809,2080608
37919.0,99.914905,2080610
37951.0,99.915097,2080614
38079.0,99.915193,2080616
38111.0,99.915337,2080619
38175.0,99.915385,2080620
38207.0,99.915529,2080623
38239.0,99.915577,2080624
38271.0,99.915722,2080627
38303.0,99.915818,2080629
38335.0,99.915866,2080630
38367.0,99.915962,2080632
38463.0,99.916010,2080633
38495.0,99.916154,2080636
38527.0,99.916202,2080637
38687.0,99.916250,2080638
38719.0,99.916298,2080639
38751.0,99.916490,2080643
38815.0,99.916634,2080646
38879.0,99.916730,2080648
38911.0,99.916970,2080653
38943.0,99.917066,2080655
39007.0,99.917114,2080656
39039.0,99.917162,2080657
39071.0,99.917258,2080659
39103.0,99.917642,2080667
39135.0,99.917786,2080670
39167.0,99.917883,2080672
39199.0,99.917931,2080673
39231.0,99.918027,2080675
39263.0,99.918075,2080676
39327.0,99.918219,2080679
39359.0,99.918315,2080681
39391.0,99.918507,2080685
39423.0,99.918603,2080687
39455.0,99.918747,2080690
39487.0,99.919035,2080696
39583.0,99.919131,2080698
39615.0,99.919275,2080701
39647.0,99.919515,2080706
39679.0,99.919611,2080708
39711.0,99.919659,2080709
39775.0,99.919707,2080710
39807.0,99.919899,2080714
39839.0,99.919995,2080716
39871.0,99.920236,2080721
39903.0,99.920428,2080725
39935.0,99.920572,2080728
39967.0,99.920668,2080730
39999.0,99.921004,2080737
40031.0,99.921244,2080742
40063.0,99.921436,2080746
40095.0,99.921868,2080755
40127.0,99.922060,2080759
40159.0,99.922301,2080764
40191.0,99.922445,2080767
40223.0,99.922685,2080772
40255.0,99.922877,2080776
40287.0,99.923117,2080781
40319.0,99.923261,2080784
40351.0,99.923357,2080786
40383.0,99.923453,2080788
40415.0,99.923549,2080790
40479.0,99.923693,2080793
40511.0,99.923741,2080794
40543.0,99.923837,2080796
40575.0,99.924029,2080800
40607.0,99.924173,2080803
40639.0,99.924317,2080806
40671.0,99.924413,2080808
